[1] "2020-05-25 00:00:01"
[1] "2020-05-25 01:44:09"
Stochastic Gradient Boosting 

3191 samples
  24 predictor
   2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 5 times) 
Summary of sample sizes: 2872, 2872, 2872, 2872, 2872, 2872, ... 
Resampling results across tuning parameters:

  shrinkage  interaction.depth  n.minobsinnode  n.trees  Accuracy   Kappa    
  0.001      1                   2               100     0.5612657  0.0000000
  0.001      1                   2               500     0.8047620  0.5878274
  0.001      1                   2              1000     0.8047620  0.5878274
  0.001      1                   2              2000     0.8047620  0.5878274
  0.001      1                  10               100     0.5612657  0.0000000
  0.001      1                  10               500     0.8047620  0.5878274
  0.001      1                  10              1000     0.8047620  0.5878274
  0.001      1                  10              2000     0.8047620  0.5878274
  0.001      1                  20               100     0.5612657  0.0000000
  0.001      1                  20               500     0.8047620  0.5878274
  0.001      1                  20              1000     0.8047620  0.5878274
  0.001      1                  20              2000     0.8047620  0.5878274
  0.001      5                   2               100     0.5612657  0.0000000
  0.001      5                   2               500     0.8278913  0.6395202
  0.001      5                   2              1000     0.8337232  0.6549784
  0.001      5                   2              2000     0.8387384  0.6678832
  0.001      5                  10               100     0.5612657  0.0000000
  0.001      5                  10               500     0.8288315  0.6414994
  0.001      5                  10              1000     0.8340991  0.6558040
  0.001      5                  10              2000     0.8389261  0.6683513
  0.001      5                  20               100     0.5612657  0.0000000
  0.001      5                  20               500     0.8243819  0.6320036
  0.001      5                  20              1000     0.8302132  0.6479565
  0.001      5                  20              2000     0.8391763  0.6688160
  0.001      9                   2               100     0.5612657  0.0000000
  0.001      9                   2               500     0.8347876  0.6559761
  0.001      9                   2              1000     0.8353525  0.6598282
  0.001      9                   2              2000     0.8407433  0.6725845
  0.001      9                  10               100     0.5612657  0.0000000
  0.001      9                  10               500     0.8340357  0.6542666
  0.001      9                  10              1000     0.8366695  0.6626417
  0.001      9                  10              2000     0.8408685  0.6728936
  0.001      9                  20               100     0.5612657  0.0000000
  0.001      9                  20               500     0.8288960  0.6431253
  0.001      9                  20              1000     0.8316552  0.6519327
  0.001      9                  20              2000     0.8415578  0.6743166
  0.010      1                   2               100     0.8047620  0.5878274
  0.010      1                   2               500     0.8368556  0.6618984
  0.010      1                   2              1000     0.8372337  0.6647654
  0.010      1                   2              2000     0.8389254  0.6688111
  0.010      1                  10               100     0.8047620  0.5878274
  0.010      1                  10               500     0.8369187  0.6620006
  0.010      1                  10              1000     0.8372964  0.6648140
  0.010      1                  10              2000     0.8383623  0.6676794
  0.010      1                  20               100     0.8047620  0.5878274
  0.010      1                  20               500     0.8374205  0.6630755
  0.010      1                  20              1000     0.8378599  0.6660065
  0.010      1                  20              2000     0.8381748  0.6673552
  0.010      5                   2               100     0.8351021  0.6578923
  0.010      5                   2               500     0.8431248  0.6785828
  0.010      5                   2              1000     0.8429369  0.6784049
  0.010      5                   2              2000     0.8423726  0.6774899
  0.010      5                  10               100     0.8344132  0.6564703
  0.010      5                  10               500     0.8432502  0.6789331
  0.010      5                  10              1000     0.8433754  0.6793564
  0.010      5                  10              2000     0.8419971  0.6768453
  0.010      5                  20               100     0.8291475  0.6456523
  0.010      5                  20               500     0.8416203  0.6754546
  0.010      5                  20              1000     0.8411193  0.6748054
  0.010      5                  20              2000     0.8393646  0.6712945
  0.010      9                   2               100     0.8357921  0.6607389
  0.010      9                   2               500     0.8426238  0.6777710
  0.010      9                   2              1000     0.8421844  0.6771109
  0.010      9                   2              2000     0.8392384  0.6710705
  0.010      9                  10               100     0.8369826  0.6632902
  0.010      9                  10               500     0.8434383  0.6794301
  0.010      9                  10              1000     0.8418717  0.6765381
  0.010      9                  10              2000     0.8381738  0.6690680
  0.010      9                  20               100     0.8324071  0.6535178
  0.010      9                  20               500     0.8424978  0.6773199
  0.010      9                  20              1000     0.8395515  0.6715888
  0.010      9                  20              2000     0.8372957  0.6670963
  0.100      1                   2               100     0.8375460  0.6654062
  0.100      1                   2               500     0.8381736  0.6674151
  0.100      1                   2              1000     0.8332206  0.6574298
  0.100      1                   2              2000     0.8271411  0.6452658
  0.100      1                  10               100     0.8374228  0.6653564
  0.100      1                  10               500     0.8376738  0.6664666
  0.100      1                  10              1000     0.8326571  0.6562193
  0.100      1                  10              2000     0.8283950  0.6477774
  0.100      1                  20               100     0.8373595  0.6651134
  0.100      1                  20               500     0.8378599  0.6667736
  0.100      1                  20              1000     0.8341607  0.6593135
  0.100      1                  20              2000     0.8287702  0.6485384
  0.100      5                   2               100     0.8429369  0.6784541
  0.100      5                   2               500     0.8337845  0.6602431
  0.100      5                   2              1000     0.8309647  0.6544684
  0.100      5                   2              2000     0.8289581  0.6504733
  0.100      5                  10               100     0.8418082  0.6764154
  0.100      5                  10               500     0.8330946  0.6588775
  0.100      5                  10              1000     0.8305251  0.6536612
  0.100      5                  10              2000     0.8272678  0.6471267
  0.100      5                  20               100     0.8407428  0.6740054
  0.100      5                  20               500     0.8292124  0.6510793
  0.100      5                  20              1000     0.8295223  0.6517475
  0.100      5                  20              2000     0.8261381  0.6449844
  0.100      9                   2               100     0.8411824  0.6750311
  0.100      9                   2               500     0.8325948  0.6577565
  0.100      9                   2              1000     0.8311509  0.6547442
  0.100      9                   2              2000     0.8299600  0.6523510
  0.100      9                  10               100     0.8393000  0.6712852
  0.100      9                  10               500     0.8311507  0.6548300
  0.100      9                  10              1000     0.8304626  0.6535543
  0.100      9                  10              2000     0.8303997  0.6535886
  0.100      9                  20               100     0.8389888  0.6707469
  0.100      9                  20               500     0.8301499  0.6530756
  0.100      9                  20              1000     0.8270167  0.6467869
  0.100      9                  20              2000     0.8265772  0.6459417

Accuracy was used to select the optimal model using the largest value.
The final values used for the model were n.trees = 500, interaction.depth = 9, shrinkage = 0.01 and n.minobsinnode = 10.
